                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.59773,                0.28695,                0.82778,                0.98275,                0.97868,                 0.9925,                0.84335,                0.45678,                0.21072,                0.88019,              0.0054856,              0.0054856,              0.0054856
                    116,                0.59441,                0.28508,                0.82905,                0.98272,                0.97821,                0.99257,                0.84334,                0.45607,                0.21117,                0.87986,               0.005446,               0.005446,               0.005446
                    117,                0.59426,                0.28491,                 0.8294,                0.98403,                0.97729,                0.99245,                0.84382,                0.45624,                0.21093,                0.88049,              0.0054064,              0.0054064,              0.0054064
                    118,                0.59652,                 0.2855,                0.82804,                0.98295,                0.97709,                0.99236,                0.84413,                0.45569,                0.21081,                0.87981,              0.0053668,              0.0053668,              0.0053668
                    119,                0.59512,                0.28355,                0.82692,                0.98501,                0.97554,                0.99227,                0.84517,                0.45483,                0.21091,                0.87928,              0.0053272,              0.0053272,              0.0053272
                    120,                0.58885,                0.28176,                0.82706,                0.98304,                 0.9776,                0.99233,                0.84613,                 0.4534,                 0.2108,                0.87845,              0.0052876,              0.0052876,              0.0052876
                    121,                0.59414,                0.28396,                0.82666,                0.98538,                 0.9755,                0.99251,                0.84695,                0.45242,                0.21026,                0.87859,               0.005248,               0.005248,               0.005248
                    122,                0.58936,                0.28236,                 0.8283,                0.98377,                0.97698,                0.99249,                0.84785,                0.45209,                0.21066,                0.87876,              0.0052084,              0.0052084,              0.0052084
                    123,                 0.5833,                0.28071,                0.82548,                0.98408,                0.97708,                0.99245,                0.84822,                0.45154,                0.21066,                0.87908,              0.0051688,              0.0051688,              0.0051688
                    124,                0.58314,                0.28002,                0.82656,                0.98479,                0.97678,                0.99243,                0.84794,                0.45239,                0.21037,                0.87949,              0.0051292,              0.0051292,              0.0051292
                    125,                0.58654,                0.28056,                0.82616,                0.98414,                0.97742,                0.99238,                0.84778,                0.45219,                0.21036,                0.87915,              0.0050896,              0.0050896,              0.0050896
                    126,                0.58782,                0.28041,                0.82529,                0.98398,                0.97786,                0.99233,                0.84781,                0.45243,                0.21037,                0.87941,                0.00505,                0.00505,                0.00505
                    127,                0.58435,                0.27982,                 0.8266,                0.98413,                0.97703,                0.99233,                0.84755,                0.45285,                0.21063,                0.87966,              0.0050104,              0.0050104,              0.0050104
                    128,                0.58202,                0.27903,                0.82725,                0.98447,                0.97617,                0.99229,                0.84776,                0.45315,                0.21101,                0.87996,              0.0049708,              0.0049708,              0.0049708
                    129,                0.58808,                0.28006,                0.82367,                0.98408,                0.97683,                0.99225,                0.84762,                0.45309,                0.21052,                 0.8799,              0.0049312,              0.0049312,              0.0049312
